"species","N","DBH","WD","Vessel_N","Dmedian","D","Dh","VD","VA","Kp"
"Apocynaceae Odontadenia spp1",1,"52","0.38","116","177 [ 12 - 494 ]","194","280","1.8","8","277.54"
"Bignoniaceae spp1",1,"15","0.54","42","50 [ 11 - 192 ]","67","109","9.5","5.2","32.69"
"Bignoniaceae spp2",1,"19","0.53","50","80 [ 15 - 292 ]","100","154","10.4","12.3","143.71"
"Convolvulaceae Maripa spp1",3,"44.7 ± 6.4","0.49 ± 0.07","47 ± 4","248 [ 30 - 394 ]","227 ± 57","260 ± 47","5.1 ± 2.4","20.9 ± 3.6","529.78 ± 195.58"
"Dilleniaceae Doliocarpus spp1",2,"17 ± 7.1","0.47 ± 0","48 ± 30","134 [ 14 - 296 ]","127 ± 16","160 ± 2","11.4 ± 2.9","17.7 ± 2.5","185.07 ± 57.11"
"Fabaceae spp1",1,"30","0.61","50","158 [ 36 - 393 ]","164","206","7.7","19.1","342.57"
"Gnetaceae Gnetum spp1",1,"53","0.33","55","252 [ 50 - 379 ]","218","267","2.8","12.7","350.19"
"Indet1",2,"21 ± 7.1","0.46 ± 0.02","33 ± 24","180 [ 10 - 355 ]","152 ± 136","187 ± 155","35.8 ± 42.8","26.9 ± 7.8","553.07 ± 699.75"
"Indet2",2,"35 ± 2.8","0.53 ± 0.06","55 ± 0","40 [ 6 - 276 ]","59 ± 12","112 ± 27","48 ± 37.4","20.6 ± 10.6","146.34 ± 12.65"
"Indet3",1,"30","0.26","50","189 [ 80 - 250 ]","181","192","4.2","11.3","138.66"
"Malpighiaceae spp1",1,"29.5","0.34","50","200 [ 80 - 272 ]","189","207","11","33.2","495.55"
"Menispermaceae Abuta spp1",1,"95","0.57","50","116 [ 62 - 245 ]","125","151","11.4","16","144.15"
"Rubiaceae spp1",3,"33.7 ± 4.2","0.58 ± 0","47 ± 3","101 [ 9 - 296 ]","101 ± 20","123 ± 34","23.1 ± 6.6","23.6 ± 14.5","198.15 ± 223.91"
"Sapindaceae Paullinia spp1",2,"27 ± 1.4","0.58 ± 0","80 ± 39","110 [ 4 - 344 ]","112 ± 122","163 ± 92","48 ± 58.4","20.4 ± 4","326.54 ± 169.52"
