Liana ID,Vessel density (n/mm²) ,Vessel density (n/m²) ,Kp (kg / m / Mpa/s)
3,11,11000000,485.9311272
14,11.36,11360000,141.3540571
17,1.84,1840000,272.1471802
19,9.4,9400000,138.4099672
21,5.54,5540000,1027.520925
34,4.07,4070000,713.7042008
41,7.74,7740000,181.1431312
44,2.8,2800000,391.5014537
47,10.45,10450000,167.2792168
48,4.17,4170000,135.9678321
49,6.7,6700000,437.6993697
11,20.595,20595000,112.5633417
12,18.19,18190000,27.34321053
16,3.32,3320000,500.8390281
20,7.78,7780000,337.713502
22,66,66000000,57.14017182
25,74.44,74440000,134.7222749
31,13.45,13450000,221.0713485
32,9.5,9500000,32.05789286
36,21.48,21480000,152.2661502
37,30.6,30600000,443.0147128
38,89.3,89300000,202.6575212
