ind,family,genus,stem,dbh,msat,msatim,volsat,Dsat,mdry,wd
3,Malpighiaceae,spp1,BS,29.5,5.7673,0.4537,5.3136,1.085384673,1.7884,0.33657031
11,Rubiaceae,spp1 (1),BER,29,7.1708,1.1803,5.9905,1.197028629,3.4564,0.576980219
12,Rubiaceae,spp1 (2),BER,37,12.5768,2.1159,10.4609,1.202267491,6.1193,0.584968789
14,Menispermaceae,Abuta spp1,AC,95,6.778,1.0049,5.7731,1.174065926,3.2753,0.567338172
16,Convolvulaceae,Maripa spp1 (1),AC,52,23.0671,2.3852,20.6819,1.115327895,8.5999,0.415817696
17,Apocynaceae,Odontadenia spp1,AC,52,18.652,0.8221,17.8299,1.046107942,6.743,0.378184959
19,Dilleniaceae,Doliocarpus spp1 (1),AC,22,4.7268,0.6558,4.071,1.161090641,1.9362,0.475607959
20,Convolvulaceae,Maripa spp1 (2),AC,41,13.8327,1.824,12.0087,1.15188988,6.5546,0.545820946
21,Indet1 (1),,BE,26,4.0348,0.4187,3.6161,1.115787727,1.6102,0.445286358
22,Indet1 (2),,BE,16,1.9249,0.2832,1.6417,1.172504112,0.7759,0.472619845
25,Indet2 (1),,BE,33,18.0121,1.9931,16.019,1.124421,7.8892,0.492490168
31,Dilleniaceae,Doliocarpus spp1 (2),AC,12,2.4507,0.3165,2.1342,1.148299128,1.0027,0.469824759
32,Bignoniaceae,spp1,BS,15,1.3522,0.2053,1.1469,1.179004272,0.6218,0.542157119
34,Convolvulaceae,Maripa spp1 (3),AC,41,13.5509,1.53,12.0209,1.127278324,5.988,0.498132419
36,Indet2 (2),,BE,37,15.6247,2.5043,13.1204,1.190870705,7.5469,0.5752035
37,Rubiaceae,spp1 (3),BER,35,7.9778,1.233,6.7448,1.182807496,3.8879,0.576429249
38,Sapindaceae,Paullinia spp1 (1),FP,28,4.8295,0.7711,4.0584,1.190000986,2.3361,0.575620934
41,Fabaceae,spp1,BER,30,7.0395,1.0228,6.0167,1.169993518,3.6475,0.606229328
44,Gnetaceae,Gnetum spp1,AC,53,10.9189,1.0354,9.8835,1.104760459,3.2748,0.331340112
47,Bignoniaceae,spp2,BS,19,2.4655,0.3744,2.0911,1.179044522,1.1122,0.531873177
48,Indet3,,BER,30,5.5481,0.439,5.1091,1.085925114,1.3406,0.262394551
49,Sapindaceae,Paullinia spp1 (2),FP,26,3.9846,0.6556,3.329,1.196936017,1.9345,0.581105437
